32   0.222656 0.234375 0.703125 0.839844 3 35
33 ! 0.0585938 0.0820313 0.703125 0.839844 6 35
34 " 0.957031 0.996094 0.421875 0.558594 10 35
35 # 0.25 0.308594 0.28125 0.417969 15 35
36 $ 0.523438 0.574219 0.421875 0.558594 13 35
37 % 0.109375 0.195313 0 0.136719 22 35
38 & 0.46875 0.550781 0 0.136719 21 35
39 ' 0.976563 0.996094 0.5625 0.699219 5 35
40 ( 0.71875 0.753906 0.5625 0.699219 9 35
41 ) 0.960938 0.996094 0.140625 0.277344 9 35
42 * 0.5 0.542969 0.5625 0.699219 11 35
43 + 0.5625 0.617188 0.28125 0.417969 14 35
44 , 0.03125 0.0546875 0.703125 0.839844 6 35
45 - 0.90625 0.9375 0.5625 0.699219 8 35
46 . 0.132813 0.152344 0.703125 0.839844 5 35
47 / 0.796875 0.847656 0.421875 0.558594 13 35
48 0 0 0.0546875 0.421875 0.558594 14 35
49 1 0.835938 0.867188 0.5625 0.699219 8 35
50 2 0.101563 0.148438 0.5625 0.699219 12 35
51 3 0.203125 0.25 0.5625 0.699219 12 35
52 4 0.0585938 0.113281 0.421875 0.558594 14 35
53 5 0 0.046875 0.5625 0.699219 12 35
54 6 0.351563 0.40625 0.421875 0.558594 14 35
55 7 0.117188 0.171875 0.421875 0.558594 14 35
56 8 0.175781 0.230469 0.421875 0.558594 14 35
57 9 0.234375 0.289063 0.421875 0.558594 14 35
58 : 0.179688 0.199219 0.703125 0.839844 5 35
59 ; 0.972656 0.996094 0.28125 0.417969 6 35
60 < 0.632813 0.683594 0.421875 0.558594 13 35
61 = 0.292969 0.347656 0.421875 0.558594 14 35
62 > 0.578125 0.628906 0.421875 0.558594 13 35
63 ? 0.453125 0.496094 0.5625 0.699219 11 35
64 @ 0.378906 0.464844 0 0.136719 22 35
65 A 0.726563 0.804688 0 0.136719 20 35
66 B 0.1875 0.246094 0.28125 0.417969 15 35
67 C 0.507813 0.570313 0.140625 0.277344 16 35
68 D 0.078125 0.148438 0.140625 0.277344 18 35
69 E 0.304688 0.351563 0.5625 0.699219 12 35
70 F 0.152344 0.199219 0.5625 0.699219 12 35
71 G 0.226563 0.292969 0.140625 0.277344 17 35
72 H 0.296875 0.363281 0.140625 0.277344 17 35
73 I 0.109375 0.128906 0.703125 0.839844 5 35
74 J 0.632813 0.671875 0.5625 0.699219 10 35
75 K 0.707031 0.769531 0.140625 0.277344 16 35
76 L 0.0507813 0.0976563 0.5625 0.699219 12 35
77 M 0.289063 0.375 0 0.136719 22 35
78 N 0.152344 0.222656 0.140625 0.277344 18 35
79 O 0.890625 0.964844 0 0.136719 19 35
80 P 0.410156 0.464844 0.421875 0.558594 14 35
81 Q 0.808594 0.886719 0 0.136719 20 35
82 R 0.640625 0.703125 0.140625 0.277344 16 35
83 S 0.621094 0.675781 0.28125 0.417969 14 35
84 T 0.0625 0.121094 0.28125 0.417969 15 35
85 U 0.574219 0.636719 0.140625 0.277344 16 35
86 V 0 0.0742188 0.140625 0.277344 19 35
87 W 0 0.105469 0 0.136719 27 35
88 X 0.4375 0.503906 0.140625 0.277344 17 35
89 Y 0.367188 0.433594 0.140625 0.277344 17 35
90 Z 0.125 0.183594 0.28125 0.417969 15 35
91 [ 0 0.0273438 0.703125 0.839844 7 35
92 \ 0.640625 0.722656 0 0.136719 21 35
93 ] 0.96875 0.996094 0 0.136719 7 35
94 ^ 0.679688 0.734375 0.28125 0.417969 14 35
95 _ 0.355469 0.402344 0.5625 0.699219 12 35
96 ` 0.871094 0.902344 0.5625 0.699219 8 35
97 a 0.851563 0.902344 0.421875 0.558594 13 35
98 b 0.773438 0.832031 0.140625 0.277344 15 35
99 c 0.90625 0.953125 0.421875 0.558594 12 35
100 d 0.4375 0.496094 0.28125 0.417969 15 35
101 e 0.738281 0.792969 0.28125 0.417969 14 35
102 f 0.546875 0.585938 0.5625 0.699219 10 35
103 g 0.3125 0.371094 0.28125 0.417969 15 35
104 h 0.742188 0.792969 0.421875 0.558594 13 35
105 i 0.15625 0.175781 0.703125 0.839844 5 35
106 j 0.757813 0.792969 0.5625 0.699219 9 35
107 k 0.855469 0.910156 0.28125 0.417969 14 35
108 l 0.0859375 0.105469 0.703125 0.839844 5 35
109 m 0.554688 0.636719 0 0.136719 21 35
110 n 0.46875 0.519531 0.421875 0.558594 13 35
111 o 0.5 0.558594 0.28125 0.417969 15 35
112 p 0 0.0585938 0.28125 0.417969 15 35
113 q 0.898438 0.957031 0.140625 0.277344 15 35
114 r 0.589844 0.628906 0.5625 0.699219 10 35
115 s 0.40625 0.449219 0.5625 0.699219 11 35
116 t 0.675781 0.714844 0.5625 0.699219 10 35
117 u 0.6875 0.738281 0.421875 0.558594 13 35
118 v 0.835938 0.894531 0.140625 0.277344 15 35
119 w 0.199219 0.285156 0 0.136719 22 35
120 x 0.914063 0.96875 0.28125 0.417969 14 35
121 y 0.375 0.433594 0.28125 0.417969 15 35
122 z 0.253906 0.300781 0.5625 0.699219 12 35
123 { 0.941406 0.972656 0.5625 0.699219 8 35
124 | 0.203125 0.21875 0.703125 0.839844 4 35
125 } 0.796875 0.832031 0.5625 0.699219 9 35
126 ~ 0.796875 0.851563 0.28125 0.417969 14 35
